date,sales,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,day_of_week
2025-09-05,245,192.0,188.0,159.0,232.0,240.0,219.0,194.0,4
2025-09-06,258,245.0,192.0,188.0,159.0,232.0,240.0,219.0,5
2025-09-07,216,258.0,245.0,192.0,188.0,159.0,232.0,240.0,6
2025-09-08,172,216.0,258.0,245.0,192.0,188.0,159.0,232.0,0
2025-09-09,191,172.0,216.0,258.0,245.0,192.0,188.0,159.0,1
2025-09-10,198,191.0,172.0,216.0,258.0,245.0,192.0,188.0,2
2025-09-11,151,198.0,191.0,172.0,216.0,258.0,245.0,192.0,3
2025-09-12,236,151.0,198.0,191.0,172.0,216.0,258.0,245.0,4
2025-09-13,137,236.0,151.0,198.0,191.0,172.0,216.0,258.0,5
2025-09-14,266,137.0,236.0,151.0,198.0,191.0,172.0,216.0,6
2025-09-15,144,266.0,137.0,236.0,151.0,198.0,191.0,172.0,0
2025-09-16,245,144.0,266.0,137.0,236.0,151.0,198.0,191.0,1
2025-09-17,192,245.0,144.0,266.0,137.0,236.0,151.0,198.0,2
2025-09-18,217,192.0,245.0,144.0,266.0,137.0,236.0,151.0,3
2025-09-19,182,217.0,192.0,245.0,144.0,266.0,137.0,236.0,4
2025-09-20,211,182.0,217.0,192.0,245.0,144.0,266.0,137.0,5
2025-09-21,166,211.0,182.0,217.0,192.0,245.0,144.0,266.0,6
2025-09-22,214,166.0,211.0,182.0,217.0,192.0,245.0,144.0,0
2025-09-23,223,214.0,166.0,211.0,182.0,217.0,192.0,245.0,1
2025-09-24,170,223.0,214.0,166.0,211.0,182.0,217.0,192.0,2
2025-09-25,204,170.0,223.0,214.0,166.0,211.0,182.0,217.0,3
2025-09-26,124,204.0,170.0,223.0,214.0,166.0,211.0,182.0,4
2025-09-27,236,124.0,204.0,170.0,223.0,214.0,166.0,211.0,5
2025-09-28,154,236.0,124.0,204.0,170.0,223.0,214.0,166.0,6
2025-09-29,208,154.0,236.0,124.0,204.0,170.0,223.0,214.0,0
2025-09-30,229,208.0,154.0,236.0,124.0,204.0,170.0,223.0,1
2025-10-01,227,229.0,208.0,154.0,236.0,124.0,204.0,170.0,2
2025-10-02,227,227.0,229.0,208.0,154.0,236.0,124.0,204.0,3
2025-10-03,202,227.0,227.0,229.0,208.0,154.0,236.0,124.0,4
2025-10-04,223,202.0,227.0,227.0,229.0,208.0,154.0,236.0,5
2025-10-05,218,223.0,202.0,227.0,227.0,229.0,208.0,154.0,6
2025-10-06,205,218.0,223.0,202.0,227.0,227.0,229.0,208.0,0
2025-10-07,256,205.0,218.0,223.0,202.0,227.0,227.0,229.0,1
2025-10-08,235,256.0,205.0,218.0,223.0,202.0,227.0,227.0,2
2025-10-09,203,235.0,256.0,205.0,218.0,223.0,202.0,227.0,3
2025-10-10,183,203.0,235.0,256.0,205.0,218.0,223.0,202.0,4
